Category,Sub Category,Sub-Sub Category
Cost of Goods Sold,Kitchen,Delivery Fee
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen ,Staff Meal
Cost of Goods Sold,Kitchen ,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Delivery Fee
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Packaging & Disposables
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Delivery Fee
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Delivery Fee
Cost of Goods Sold,Kitchen,Staff Meal
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Kitchen,Staff Meal
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Delivery Fee
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Delivery Fee
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Delivery Fee
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Delivery Fee
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Staff Meal
Cost of Goods Sold,Bar,Packaging & Disposables
Cost of Goods Sold,Kitchen,Staff Meal
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bar,Delivery Fee
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Kitchen,Delivery Fee
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Packaging & Disposables
Cost of Goods Sold,Kitchen,Staff Meal
Cost of Goods Sold,Bar,Delivery Fee
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Packaging & Disposables
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Delivery Fee
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Staff Meal
Cost of Goods Sold,Kitchen,Delivery Fee
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Delivery Fee
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Kitchen,Packaging & Disposables
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Kitchen,Delivery Fee
Cost of Goods Sold,Bar,Delivery Fee
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Delivery Fee
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Delivery Fee
Cost of Goods Sold,Kitchen,Staff Meal
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bar,Delivery Fee
Cost of Goods Sold,Kitchen,Staff Meal
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Kitchen,Staff Meal
Cost of Goods Sold,Bar,Delivery Fee
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Kitchen,Delivery Fee
Cost of Goods Sold,Bar,Delivery Fee
Cost of Goods Sold,Kitchen,Delivery Fee
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Staff Meal
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Delivery Fee
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bar,Delivery Fee
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Kitchen,Delivery Fee
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bakery,Delivery Fee
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bakery,Packaging & Disposables
Cost of Goods Sold,Bar,Delivery Fee
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bakery,Packaging & Disposables
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bakery,Delivery Fee
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Kitchen,Staff Meal
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Staff Meal
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bar,Supplies
Cost of Goods Sold,Bakery,Supplies
Cost of Goods Sold,Bakery,Delivery Fee
Cost of Goods Sold,Kitchen,Supplies
Cost of Goods Sold,Bakery,Supplies
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Travel Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee, 
Delivery & Logistics,Parking Fee, 
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,Delivery Fee
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Delivery Fee,
Delivery & Logistics,,
Delivery & Logistics,Parking Fee,
Delivery & Logistics,Parking Fee, 
Fixed Assets,Bar,Cafe Equiptment
Government Fees,Legal Expense,
Government Fees,Legal Expense,
Government Fees,Legal Expense,
Miscellaneous,Christmas Party,
Miscellaneous,Christmas Party,
Miscellaneous,Christmas Party,
Miscellaneous,Christmas Party,
Office Expense,Office Supplies,
Office Expense,Office Supplies,
Office Expense,Office Supplies,
Office Expense,Office Supplies,
Office Expense,Office Supplies,
Office Expense,Office Supplies,
Office Expense,Office Supplies,
Office Expense,Office Supplies,
Office Expense,Office Supplies,
Office Expense,Office Supplies,
Office Expense,Office Supplies,
Office Expense,Office Supplies,
Office Expense,Office Supplies,
Office Expense,Office Supplies,
Office Expense,Office Supplies,
Office Expense,Office Supplies,Small Equipment
Office Expense,Office Supplies,
Office Expense,Meal,
Office Expense,Office Supplies,
Operating Expense,Utilities - Electricity,
Operating Expense,Uniform,
Operating Expense,Utilities,Gas
Operating Expense,Utilities,Gas
Operating Expense,Kitchen Supplies,Small Equipment
Operating Expense,Repairs & Maintenance,Equipment Repairs
Operating Expense,Kitchen Supplies,Small Equipment
Operating Expense,Repairs & Maintenance,Small Equipment
Operating Expense,Repairs & Maintenance,Maintenance Supplies
Operating Expense,Utilities,
Operating Expense,Maintainance,Facility Repair
Operating Expense,Kitchen Supplies,Small Equipment
Operating Expense,Repairs & Maintenance,Maintenance Supplies
Operating Expense,Repairs & Maintenance,Maintenance Supplies
Operating Expense,Utilities,Gas
Operating Expense,Kitchen Supplies,Small Equipment
Operating Expense,Kitchen Supplies,Small Equipment
Operating Expense,Kitchen Supplies,Small Equipment
Operating Expense,Uniform,
Operating Expense,Kitchen Supplies,Small Equipment
Operating Expense,Utilities - Electricity,
Operating Expense,Utilities,Gas
Operating Expense,Repairs & Maintenance,Small Equipment
Operating Expense,Repairs & Maintenance,Equipment Repairs
Operating Expense,Bar Supplies,Small Equipment
Operating Expense,Bar Supplies,Small Equipment
Operating Expense,Kitchen Supplies,Small Equipment
Operating Expense,Repairs & Maintenance,Equipment Repairs
Operating Expense,Bar,Small Equipment
Operating Expense,Uniform,
Operating Expenses,Cleaning & Janitorial,Cleaning Supplies
Operating Expenses,Marketing & Promotional,Decorations
Operating Expenses,Business Expense,
Operating Expenses,Cleaning & Janitorial,Cleaning Supplies
Operating Expenses,Cleaning & Janitorial,Cleaning Supplies
Operating Expenses,Cleaning & Janitorial,Cleaning Supplies
Operating Expenses,Cleaning & Janitorial,Cleaning Supplies
Operating Expenses,Cleaning & Janitorial,Cleaning Supplies
Operating Expenses,Cleaning & Janitorial,Cleaning Supplies
Operating Expenses,Cleaning & Janitorial,Cleaning Supplies
Operating Expenses,Cleaning & Janitorial,Cleaning Supplies
Operating Expenses,Marketing & Promotional,Event
Operating Expenses,Marketing & Promotional,Event
Operating Expenses,Marketing & Promotional,Event
Operating Expenses,Marketing & Promotional,Event
Operating Expenses,Marketing & Promotional,Event
Operating Expenses,Marketing & Promotional,Event
Operating Expenses,Cleaning & Janitorial,Cleaning Supplies
Operating Expenses,Marketing & Promotional,Decorations
Operating Expenses,Marketing & Promotional,Event
Owner's Pay,Capital,
Owner's Pay,Capital,
Owner's Pay,Capital,
Owner's Pay,Capital,
Payroll Expense,Service Charge,
Payroll Expense,Service Charge Distribution,
Payroll Expense,Employee Payroll,
Payroll Expense,Employee Payroll,
Payroll Expense,Employee Payroll,
Payroll Expense,Employee Payroll,
Payroll Expense,Employee Payroll,
Payroll Expense,Service Charge Distribution,
Payroll Expense,Service Charge Distribution,
Payroll Expense,Employee Payroll,
Payroll Expense,Employee Payroll,
Payroll Expense,Employee Payroll,
Payroll Expense,Employee Payroll,
Payroll Expense,Employee Payroll,
Payroll Expense,Employee Payroll,
Payroll Expense,Employee Payroll,
Payroll Expense,Employee Payroll,
Payroll Expense,Service Charge Distribution,
Payroll Expense,Employee Payroll,
Payroll Expense,Employee Payroll,
Payroll Expense,Employee Payroll,
Payroll Expense,Employee Payroll,
Payroll Expense,Employee Payroll,
Payroll Expense,Service Charge Distribution,
Payroll Expense,Service Charge Distribution,
Payroll Expense,Service Charge Distribution,
Payroll Expense,Employee Payroll,
Payroll Expense,Service Charge Distribution,
Payroll Expense,Employee Payroll,
Payroll Expense,Employee Payroll,
Payroll Expense,Employee Payroll,
Payroll Expense,Service Charge Distribution,
Sales,Sales,
Sales,Sales,
Sales,Sales,Sales
Sales,Sales,
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Sales,Sales,Sales
Uncategorized,,
Uncategorized,,
Uncategorized,,
Uncategorized,,
Uncategorized,,
Uncategorized,,
Uncategorized,,
Uncategorized,,
Uncategorized,,
Uncategorized,,
Uncategorized,,
Uncategorized,,
Uncategorized,,
Uncategorized,,
Uncategorized,,
Uncategorized,,
Uncategorized,,
Uncategorized,,
Uncategorized,,
