Date,Category,Sub Category,Sub-Sub Category,Type,Description,Amount,Department,Checker
Nov 18,Cost of Goods Sold,Bar,Delivery Fee,Expense,Lalamove (Ice Cream),₱129.00,Bar,"₱23,507.66"
Nov 18,Uncategorized,,,Expense,Purchase Order ,"₱11,990.00",Kitchen/Bar/Bakery,"₱11,517.66"
Nov 18,Cost of Goods Sold,Kitchen,Supplies,Expense,Chicken Order,"₱2,500.00",Kitchen,"₱9,017.66"
Nov 19,Sales,Sales,Sales,Income,Sales,"₱7,599.15",Store,"₱16,616.81"
Nov 19,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,lalamove (Cheese),₱115.00,Kitchen,"₱16,501.81"
Nov 19,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,lalamove (Chicken),₱126.00,Kitchen,"₱16,375.81"
Nov 19,Operating Expenses,Cleaning & Janitorial,Cleaning Supplies,Expense,Zonrox,₱43.00,Bar,"₱16,332.81"
Nov 20,Sales,Sales,Sales,Income,Sales,"₱4,249.13",Store,"₱20,581.94"
Nov 20,Cost of Goods Sold,Kitchen,Supplies,Expense,Brown/White Sugars,₱135.00,Kitchen,"₱20,446.94"
Nov 21,Sales,Sales,Sales,Income,Sales,"₱6,525.99",Store,"₱26,972.93"
Nov 21,Government Fees,Legal Expense,,Expense,BIR Notaryo,₱700.00,Store,"₱26,272.93"
Nov 21,Cost of Goods Sold,Kitchen,Supplies,Expense,Egg,"₱1,125.00",Kitchen,"₱25,147.93"
Nov 21,Cost of Goods Sold,Bakery,Supplies,Expense,Egg,"₱1,125.00",Bakery,"₱24,022.93"
Nov 21,Operating Expenses,Marketing & Promotional,Decorations,Expense,Christmas Decor,"₱1,741.00",Store,"₱22,281.93"
Nov 21,Operating Expenses,Business Expense,,Expense,Gas for Seminar w/Cheff Chris,"₱1,000.00",Store,"₱21,281.93"
Nov 21,Operating Expense,Repairs & Maintenance,Maintenance Supplies,Expense,WD40 Spray,₱200.00,Store,"₱21,081.93"
Nov 21,Cost of Goods Sold,Kitchen,Staff Meal,Expense,Green Chillis (Sili),₱16.00,Kitchen,"₱21,065.93"
Nov 21,Office Expense,Office Supplies,,Expense,Tape,₱16.00,Bar,"₱21,049.93"
Nov 22,Sales,Sales,Sales,Income,Sales,"₱7,998.91",Store,"₱29,048.84"
Nov 22,Cost of Goods Sold,Bakery,Supplies,Expense,Mango,₱200.00,Bakery,"₱28,848.84"
Nov 22,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,"₱28,628.84"
Nov 22,Cost of Goods Sold,Kitchen,Supplies,Expense,Rice (25kilos),"₱1,210.00",Kitchen,"₱27,418.84"
Nov 23,Cost of Goods Sold,Kitchen,Supplies,Income,Sales,"₱10,196.19",Store,"₱37,615.03"
Nov 23,Cost of Goods Sold,Kitchen,Staff Meal,Expense,Staff Meal,₱360.00,Kitchen,"₱37,255.03"
Nov 24,Sales,Sales,Sales,Income,Sales,"₱2,312.75",Store,"₱39,567.78"
Nov 24,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱210.00,Bar,"₱39,357.78"
Nov 24,Operating Expenses,Cleaning & Janitorial,Cleaning Supplies,Expense,Dishwashing Liquid,₱95.00,Bar,"₱39,262.78"
Nov 24,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order  Kitchen,"₱17,892.12",Kitchen,"₱21,370.66"
Nov 24,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order  Bar,"₱1,888.88",Bar,"₱19,481.78"
Nov 24,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order  Bakery ,"₱7,639.00",Bakery,"₱11,842.78"
Nov 24,Uncategorized,,,Expense,Purchase Order Gas/Parking/Meralco permit,"₱2,580.00",Store,"₱9,262.78"
Nov 25,Sales,Sales,Sales,Income,Sales,"₱2,605.92",Store,"₱11,868.70"
Nov 26,Sales,Sales,Sales,Income,Sales,"₱3,889.00",Store,"₱15,757.70"
Nov 26,Fixed Assets,Bar,Cafe Equiptment,Expense,EXPENSE (Water Pump for C. Machine) Cash From Cash Box,"₱3,040.00",Bar,"₱12,717.70"
Nov 27,Sales,Sales,Sales,Income,Sales,"₱4,264.82",Store,"₱16,982.52"
Nov 27,Operating Expenses,Cleaning & Janitorial,Cleaning Supplies,Expense,Dishwashing Liquid,₱100.00,Bar,"₱16,882.52"
Nov 28,Sales,Sales,Sales,Income,Sales,"₱6,915.65",Store,"₱23,798.17"
Nov 28,Operating Expenses,Cleaning & Janitorial,Cleaning Supplies,Expense,"Sponge, Lalamove, Ice",₱441.00,Bar,"₱23,357.17"
Nov 29,Sales,Sales,Sales,Income,Sales,,Ate Elvi Event,"₱23,357.17"
Nov 29,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱100.00,Bar,"₱23,257.17"
Nov 29,Operating Expenses,Cleaning & Janitorial,Cleaning Supplies,Expense,Dishwashing Liquid,₱190.00,Bar,"₱23,067.17"
Nov 29,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱150.00,Bar,"₱22,917.17"
Nov 29,Office Expense,Office Supplies,,Expense,Battery,₱30.00,Bar,"₱22,887.17"
Nov 29,Operating Expenses,Cleaning & Janitorial,Cleaning Supplies,Expense,Dishwashing Liquid,₱95.00,Bar,"₱22,792.17"
Nov 30,Sales,Sales,Sales,Income,Sales,"₱8,927.85",Store,"₱31,720.02"
Nov 30,Cost of Goods Sold,Bar,Supplies,Expense,"Ice, Powder,Ice",₱458.00,Bar,"₱31,262.02"
Dec 1,Sales,Sales,Sales,Income,Sales,"₱3,225.86",Store,"₱34,487.88"
Dec 1,Payroll Expense,Employee Payroll,,Expense,Salary,"₱27,526.53",Store,"₱6,961.35"
Dec 1,Cost of Goods Sold,Bar,Supplies,Expense,Sea salt,₱160.00,Bar,"₱6,801.35"
Dec 1,Office Expense,Office Supplies,,Expense,Bond Paper,₱189.00,Store,"₱6,612.35"
Dec 1,Uncategorized,,,Expense,Petty Cash,₱565.00,Store,"₱6,047.35"
Dec 1,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order (Kitchen),"₱3,970.00",Kitchen,"₱2,077.35"
Dec 1,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order (Bakery),₱911.00,Bakery,"₱1,166.35"
Dec 1,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order (Bar),₱589.00,Bar,₱577.35
Dec 1,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Gas/Parking,₱530.00,Store,₱47.35
Dec 2,Sales,Sales,Sales,Income,Sales,"₱5,135.84",Store,"₱5,183.19"
Dec 2,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱210.00,Bar,"₱4,973.19"
Dec 2,Operating Expenses,Cleaning & Janitorial,Cleaning Supplies,Expense,Dishwashing,₱95.00,Bar,"₱4,878.19"
Dec 2,Operating Expenses,Cleaning & Janitorial,Cleaning Supplies,Expense,Towel,₱135.00,Bar,"₱4,743.19"
Dec 2,Uncategorized,,,Expense,Parcel,₱326.00,Store,"₱4,417.19"
Dec 2,Cost of Goods Sold,Kitchen,Staff Meal,Expense,Staffmeal Veggies,₱136.00,Kitchen ,"₱4,281.19"
Dec 2,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order (Kitchen),"₱2,631.00",Kitchen,"₱1,650.19"
Dec 2,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order  (Bakery),₱589.00,Bakery,"₱1,061.19"
Dec 2,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order  (Bar),₱740.00,Bar,₱321.19
Dec 2,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Gas/Parking,"₱1,040.00",Store,-₱718.81
Dec 2,Uncategorized,,,Income,Sukli Purchase Order Nov 25,"₱1,476.00",Store,₱757.19
Dec 3,Sales,Sales,Sales,Income,Sales,"₱10,407.40",Store,"₱11,164.59"
Dec 3,Payroll Expense,Employee Payroll,,Expense,Salary (Paul,"₱5,778.33",Store,"₱5,386.26"
Dec 3,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order (Kitchen),₱295.18,Kitchen,"₱5,091.08"
Dec 3,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order  (Bakery),₱322.00,Bakery,"₱4,769.08"
Dec 3,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order  (Bar),₱602.82,Bar,"₱4,166.26"
Dec 3,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Gas/Parking,₱30.00,Store,"₱4,136.26"
Dec 4,Sales,Sales,Sales,Income,Sales,"₱3,587.15",Store,"₱7,723.41"
Dec 4,Operating Expenses,Cleaning & Janitorial,Cleaning Supplies,Expense,Dishwashing Liquid,₱95.00,Bar,"₱7,628.41"
Dec 4,Payroll Expense,Employee Payroll,,Expense,Salary (Rue),"₱3,118.63",Store,"₱4,509.78"
Dec 5,Sales,Sales,Sales,Income,Sales / Ate Elvi Event Payment,"₱78,521.26",Store,"₱83,031.04"
Dec 5,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,"₱82,811.04"
Dec 5,Payroll Expense,Service Charge Distribution,,Expense,SC for CJ & Paola,"₱6,885.00",Store,"₱75,926.04"
Dec 5,Operating Expense,Utilities,,Expense,Meralco Payment,"₱46,442.52",Store,"₱29,483.52"
Dec 6,Sales,Sales,Sales,Income,Sales,"₱7,742.17",Store,"₱37,225.69"
Dec 6,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱150.00,Bar,"₱37,075.69"
Dec 7,Sales,Sales,Sales,Income,Sales,"₱3,198.15",Store,"₱40,273.84"
Dec 7,Operating Expense,Maintainance,Facility Repair,Expense,EXPENSE (Materials for Bathroom/Sink/Bar Outlets),"₱4,200.00",Store,"₱36,073.84"
Dec 8,Sales,Sales,Sales,Income,Sales,"₱6,445.11",Store,"₱42,518.95"
Dec 8,Operating Expense,Kitchen Supplies,Small Equipment,Expense,Lighter,₱35.00,Kitchen,"₱42,483.95"
Dec 8,Payroll Expense,Service Charge Distribution,,Expense,EXPENSE (SC for Carol),"₱6,885.60",Store,"₱35,598.35"
Dec 8,Uncategorized,,,Expense,Purchase Order Kitchen/Staff Meal,"₱17,636.55",Kitchen,"₱17,961.80"
Dec 8,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order Bar,"₱5,276.50",Bar,"₱12,685.30"
Dec 8,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Gas & Parking,"₱2,090.00",Store,"₱10,595.30"
Dec 9,Sales,Sales,Sales,Income,Sales,"₱5,312.53",Store,"₱15,907.83"
Dec 9,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,Delivery Fee (Chicken),₱114.00,Kitchen,"₱15,793.83"
Dec 10,Sales,Sales,Sales,Income,Sales,"₱1,708.42",Store,"₱17,502.25"
Dec 10,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱90.00,Bar,"₱17,412.25"
Dec 10,Office Expense,Office Supplies,,Expense,"Cotton, Betadine",₱51.00,Store,"₱17,361.25"
Dec 10,Cost of Goods Sold,Bar,Supplies,Expense,Ice (Dec05),₱220.00,Bar,"₱17,141.25"
Dec 10,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱168.00,Bar,"₱16,973.25"
Dec 11,Sales,Sales,Sales,Income,Sales,₱772.46,Store,"₱17,745.71"
Dec 11,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱60.00,Bar,"₱17,685.71"
Dec 12,Sales,Sales,Sales,Income,Sales,"₱1,821.99",Store,"₱19,507.70"
Dec 12,Cost of Goods Sold,Bar,Supplies,Expense,Parcel (Condense Milk),₱550.00,Bar,"₱18,957.70"
Dec 12,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱80.00,Bar,"₱18,877.70"
Dec 13,Sales,Sales,Sales,Income,Sales,"₱6,938.38",Store,"₱25,816.08"
Dec 13,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱150.00,Bar,"₱25,666.08"
Dec 13,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,"₱25,446.08"
Dec 13,Cost of Goods Sold,Bar,Supplies,Expense,Shoppee ,₱334.00,Bar,"₱25,112.08"
Dec 14,Sales,Sales,Sales,Income,Sales,"₱7,634.80",Store,"₱32,746.88"
Dec 15,Sales,Sales,Sales,Income,Sales,"₱4,684.28",Store,"₱37,431.16"
Dec 15,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱380.00,Bar,"₱37,051.16"
Dec 15,Miscellaneous,Christmas Party,,Expense,EXPENSE Xmas Party Food,"₱9,000.00",Store,"₱28,051.16"
Dec 15,Uncategorized,,,Expense,EXPENSE 2 Days Staff Meal Purchase order,"₱15,000.00",Store,"₱13,051.16"
Dec 15,Miscellaneous,Christmas Party,,Income,Xmas Party Fund From NOVO,"₱2,000.00",Store,"₱15,051.16"
Dec 15,Uncategorized,,,Income,Purchase Order Refund for Salary,"₱9,600.00",Store,"₱24,651.16"
Dec 15,Payroll Expense,Employee Payroll,,Expense,Total Cash Salary,"₱26,787.93",Store,"-₱2,136.77"
Dec 15,Payroll Expense,Employee Payroll,,Income,From Sales Dec 16 (Salary) Addtnl. Funds,"₱8,000.00",Store,"₱5,863.23"
Dec 16,Sales,Sales,Sales,Income,Sales,"₱9,954.26",Store,"₱15,817.49"
Dec 16,Payroll Expense,Employee Payroll,,Expense,EXPENSE (8k for Addtnl Salary),"₱8,000.00",Store,"₱7,817.49"
Dec 16,Operating Expenses,Marketing & Promotional,Event,Expense,Xmas Decorations,₱500.00,Store,"₱7,317.49"
Dec 16,Operating Expenses,Marketing & Promotional,Event,Expense,Joyride (CVSU),₱100.00,Store,"₱7,217.49"
Dec 16,Operating Expenses,Marketing & Promotional,Event,Expense,Sprite (CVSU),₱192.00,Store,"₱7,025.49"
Dec 16,Operating Expenses,Marketing & Promotional,Event,Expense,Grab (CVSU),₱173.00,Store,"₱6,852.49"
Dec 16,Operating Expenses,Marketing & Promotional,Event,Expense,ICE (CVSU),₱160.00,Store,"₱6,692.49"
Dec 16,Operating Expenses,Marketing & Promotional,Event,Expense,Food (CVSU),₱50.00,Store,"₱6,642.49"
Dec 17,Sales,Sales,Sales,Income,Sales,"₱4,690.66",Store,"₱11,333.15"
Dec 17,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱120.00,Bar,"₱11,213.15"
Dec 17,Payroll Expense,Employee Payroll,,Expense,Salary (Christian),"₱4,656.93",Store,"₱6,556.22"
Dec 17,Miscellaneous,Christmas Party,,Expense,Xmas Party Special Prizes,"₱2,281.95",Store,"₱4,274.27"
Dec 18,Sales,Sales,Sales,Income,Sales,"₱2,680.20",Store,"₱6,954.47"
Dec 18,Cost of Goods Sold,Kitchen ,Staff Meal,Expense,Staff Meal,₱600.00,Kitchen,"₱6,354.47"
Dec 18,Miscellaneous,Christmas Party,,Expense,EXPENSE Xmas Party BBQ Payment,"₱1,500.00",Store,"₱4,854.47"
Dec 19,Sales,Sales,Sales,Income,Sales,"₱1,828.79",Store,"₱6,683.26"
Dec 19,Cost of Goods Sold,Kitchen ,Supplies,Expense,Shipping Fee (Chicken Skin),₱99.00,Kitchen,"₱6,584.26"
Dec 19,Office Expense,Office Supplies,,Expense,Tape,₱80.00,Store,"₱6,504.26"
Dec 19,Operating Expense,Repairs & Maintenance,Maintenance Supplies,Expense,EXPENSE Materyales/Kuya Ricky,"₱1,400.00",Store,"₱5,104.26"
Dec 19,Operating Expense,Repairs & Maintenance,Maintenance Supplies,Income,Materyales/Kuya Ricky (Sukli),₱350.00,,"₱5,454.26"
Dec 19,Uncategorized,,,Expense,Purchase Order Kitchen/Staff Meal,"₱4,500.00",Kitchen,₱954.26
Dec 20,Sales,Sales,Sales,Income,Sales,"₱9,270.23",Store,"₱10,224.49"
Dec 20,Cleaning & Sanitation,Cleaning & Janitorial,Cleaning Supplies,Expense,Dishwashing,₱140.00,Bar,"₱10,084.49"
Dec 20,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,"₱9,864.49"
Dec 20,Cost of Goods Sold,Bar,Supplies,Expense,Syrup & Honey,"₱2,103.00",Bar,"₱7,761.49"
Dec 20,Cost of Goods Sold,Kitchen,Supplies,Expense,Rice,₱150.00,Kitchen,"₱7,611.49"
Dec 20,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱210.00,Bar,"₱7,401.49"
Dec 20,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱89.00,Bar,"₱7,312.49"
Dec 21,Sales,Sales,Sales,Income,Sales,"₱7,769.01",Store,"₱15,081.50"
Dec 21,Uncategorized,,,Expense,Supermarket,"₱2,028.00",Store,"₱13,053.50"
Dec 21,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,Delivery Fee (Bawang),₱88.00,Kitchen,"₱12,965.50"
Dec 21,Cost of Goods Sold,Bar,Supplies,Expense,Shoppee ,"₱1,928.00",Bar,"₱11,037.50"
Dec 21,Cost of Goods Sold,Bar,Packaging & Disposables,Expense,Microwavable (Tupperware),₱70.00,Bar,"₱10,967.50"
Dec 21,Cleaning & Sanitation,Cleaning & Janitorial,Cleaning Supplies,Expense,Dishwashing Liquid,₱145.00,Bar,"₱10,822.50"
Dec 22,Sales,Sales,Sales,Income,Sales,"₱9,896.16",Store,"₱20,718.66"
Dec 22,Uncategorized,,,Expense,Purchase Order ,"₱6,000.00",Kitchen/Bar ,"₱14,718.66"
Dec 22,Uncategorized,,,Expense,Petty Cash,"₱1,000.00",Store,"₱13,718.66"
Dec 23,Sales,Sales,Sales,Income,Sales,₱996.69,Store,"₱14,715.35"
Dec 23,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,"₱14,495.35"
Dec 23,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,Delivery (Parmesan),₱125.00,Kitchen,"₱14,370.35"
Dec 23,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱100.00,Bar,"₱14,270.35"
Dec 23,Uncategorized,,,Expense,Purchase Order Kitchen/Bar,"₱13,000.00",Kitchen/Bar,"₱1,270.35"
Dec 24,Sales,Sales,Sales,Income,Sales,"₱6,047.36",Store,"₱7,317.71"
Dec 24,Cost of Goods Sold,Kitchen,Supplies,Expense,Bagoong,₱125.00,Kitchen,"₱7,192.71"
Dec 24,Cost of Goods Sold,Bakery,Supplies,Expense,EXPENSE Purchase Order Bakery,₱960.00,Bakery,"₱6,232.71"
Dec 24,Cost of Goods Sold,Kitchen,Supplies,Expense,EXPENSE Purchase Order Kitchen,"₱1,500.00",Kitchen,"₱4,732.71"
Dec 25,Sales,Sales,Sales,Income,Sales,"₱1,684.04",Store,"₱6,416.75"
Dec 25,Cost of Goods Sold,Kitchen,Supplies,Income,Purchase Order Sukli,₱180.25,Store,"₱6,597.00"
Dec 26,Sales,Sales,Sales,Income,Sales,"₱8,761.49",Store,"₱15,358.49"
Dec 26,Cost of Goods Sold,Bar,Supplies,Expense,Parcel (Frappe Base),₱630.00,Bar,"₱14,728.49"
Dec 26,Cleaning & Sanitation,Cleaning & Janitorial,Cleaning Supplies,Expense,Air Freshener,₱68.00,Bar,"₱14,660.49"
Dec 27,Sales,Sales,Sales,Income,Sales,"₱4,451.82",Store,"₱19,112.31"
Dec 27,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,Delivery Fee,₱100.00,Store,"₱19,012.31"
Dec 27,Cost of Goods Sold,Kitchen,Staff Meal,Expense,Sinigang Mix,₱60.00,Kitchen,"₱18,952.31"
Dec 27,Cost of Goods Sold,Kitchen,Supplies,Expense,EXPENSE Purchase Order Kitchen (L.Pasta/L.Smoke),₱640.00,Kitchen,"₱18,312.31"
Dec 28,Sales,Sales,Sales,Income,Sales,"₱11,370.62",Store,"₱29,682.93"
Dec 28,Cost of Goods Sold,Kitchen,Supplies,Expense,Tomato Paiste,₱19.00,Kitchen,"₱29,663.93"
Dec 28,Cleaning & Sanitation,Cleaning & Janitorial,Cleaning Supplies,Expense,Insecticide (Baolilai),₱95.00,Store,"₱29,568.93"
Dec 28,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order Kitchen,"₱12,050.00",Kitchen,"₱17,518.93"
Dec 28,Cost of Goods Sold,Kitchen,Staff Meal,Expense,Purchase Order Staff Meal,"₱1,322.00",Kitchen,"₱16,196.93"
Dec 28,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order Bakery,"₱2,628.00",Bakery,"₱13,568.93"
Dec 29,Sales,Sales,Sales,Income,Sales,"₱4,333.18",Store,"₱17,902.11"
Dec 29,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱210.00,Bar,"₱17,692.11"
Dec 29,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,"₱17,472.11"
Dec 30,Sales,Sales,Sales,Income,Sales,"₱5,863.63",Store,"₱23,335.74"
Dec 30,Cost of Goods Sold,Bar,Delivery Fee,Expense,Delivery Fee (Milk),₱151.00,Bar,"₱23,184.74"
Dec 30,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order Bar,"₱6,000.00",Bar,"₱17,184.74"
Dec 30,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order Bar (Milk),₱644.00,Bar,"₱16,540.74"
Dec 30,Cost of Goods Sold,Bar,Supplies,Income,Purchase Order Sukli,₱301.32,Store,"₱16,842.06"
Dec 31,Sales,Sales,Sales,Income,Sales,"₱1,586.38",Store,"₱18,428.44"
Dec 31,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,Delivery Fee (Chicken  Skin),₱150.00,Kitchen,"₱18,278.44"
Dec 31,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order Bar (Real Lime Juice),₱478.00,Bar,"₱17,800.44"
Jan 1,Sales,Sales,Sales,Income,Sales,"₱8,100.74",Store,"₱25,901.18"
Jan 1,Uncategorized,,,Income,Additional Funds from Petty Cash,"₱3,661.00",Store,"₱29,562.18"
Jan 1,Payroll Expense,Employee Payroll,,Expense,Salary,"₱17,620.74",Store,"₱11,941.44"
Jan 1,Uncategorized,,,Expense,Salary From Petty Cash,"₱3,661.00",Store,"₱8,280.44"
Jan 2,Sales,Sales,Sales,Income,Sales,"₱3,167.41",Store,"₱11,447.85"
Jan 2,Cost of Goods Sold,Kitchen,Delivery Fee,Expense,Delivery Fee (Cheese),₱111.00,Store,"₱11,336.85"
